Razão Social,Operação,NF,Data emissão NF,Qtde. Volumes,CTRC,Data Emissão,Destinatário,CNPJ Destino,Cidade Destino,UF Destino,Data Inicio Transporte,Previsão de Entrega,Data de Entrega,Status,Ocorrência Entrega,Status_1,Status Final,Dia_Previsao,Mês_Previsao,Dia_Data_inicio_TSP,mes_Data_inicio_TSP,TRANSPORTADORA,DEALER,feriado,Cidade feriado,UF Feriado
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT,RODOVIARIO,1457070,2/2/2026,7,326831,2/2/2026,NEW VEICULOS E PECAS LTDA,1.59179E+13,RIBEIRAO PRETO,SP,2/2/2026,2/5/2026,2/5/2026,Entregue No Prazo,,Entrega realizada,Entrega Finalizada,5,2,2,2,RISSO,26014,,,
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT,RODOVIARIO,1456461,1/31/2026,1,693048,1/31/2026,H - CAMINHO AUTOMOVEIS LTDA,,PIRACICABA,SP,1/31/2026,2/5/2026,1/31/2026,Entregue No Prazo,,Entrega realizada,Entrega Finalizada,5,2,31,1,RISSO,26092,,,
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT,RODOVIARIO,1456462,1/31/2026,1,693048,1/31/2026,H - CAMINHO AUTOMOVEIS LTDA,,PIRACICABA,SP,1/31/2026,2/5/2026,1/31/2026,Entregue No Prazo,,Entrega realizada,Entrega Finalizada,5,2,31,1,RISSO,26092,,,
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT,RODOVIARIO,1457069,2/2/2026,4,326821,2/2/2026,ANDRETA II DISTRIBUIDORA DE VEIC. LTDA,9.10384E+12,CAMPINAS,SP,2/2/2026,2/5/2026,2/4/2026,Entregue No Prazo,,Entrega realizada,Entrega Finalizada,5,2,2,2,RISSO,26011,,,
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT,RODOVIARIO,1457068,2/2/2026,1,326828,2/2/2026,GRAND SPORT COM. DE VEIC. E PECAS LTDA,8.57705E+12,GUARULHOS,SP,2/2/2026,2/4/2026,2/5/2026,Entregue Fora do Prazo,,Entrega realizada,Entrega Finalizada,4,2,2,2,RISSO,26005,,,
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT,RODOVIARIO,1457071,2/2/2026,1,326825,2/2/2026,CAOA MOTOR DO BRASIL LTDA (ARICANDUVA),1.67945E+13,SAO PAULO,SP,2/2/2026,2/4/2026,2/5/2026,Entregue Fora do Prazo,,Entrega realizada,Entrega Finalizada,4,2,2,2,RISSO,26039,,,
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT,RODOVIARIO,1457077,2/2/2026,8,326827,2/2/2026,DESTAQUE SEUL DISTR. DE VEIC. E PC. LTDA,2.11538E+13,ATIBAIA,SP,2/2/2026,2/5/2026,2/5/2026,Entregue No Prazo,,Entrega realizada,Entrega Finalizada,5,2,2,2,RISSO,26075,,,
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT,RODOVIARIO,1457076,2/2/2026,4,326830,2/2/2026,H R B COMERCIO DE VEICULOS LTDA,1.8238E+13,SAO JOSE DO RIO PRETO,SP,2/2/2026,2/6/2026,2/5/2026,Entregue No Prazo,,Entrega realizada,Entrega Finalizada,6,2,2,2,RISSO,26050,,,
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT,RODOVIARIO,1457074,2/2/2026,2,326822,2/2/2026,BILLY DISTRIBUIDORA DE VEICULOS LTDA,1.33508E+13,SAO CAETANO DO SUL,SP,2/2/2026,2/4/2026,2/5/2026,Entregue Fora do Prazo,,Entrega realizada,Entrega Finalizada,4,2,2,2,RISSO,26003,,,
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT,RODOVIARIO,1457075,2/2/2026,1,326832,2/2/2026,NEW VEICULOS E PECAS LTDA,1.59179E+13,FRANCA,SP,2/2/2026,2/6/2026,2/5/2026,Entregue No Prazo,,Entrega realizada,Entrega Finalizada,6,2,2,2,RISSO,26014,,,
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT,RODOVIARIO,1457168,2/2/2026,1,326824,2/2/2026,BILLY DISTRIBUIDORA DE VEICULOS LTDA,1.33508E+13,SAO PAULO,SP,2/2/2026,2/4/2026,2/5/2026,Entregue Fora do Prazo,,Entrega realizada,Entrega Finalizada,4,2,2,2,RISSO,26003,,,
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT,RODOVIARIO,1457078,2/2/2026,1,326826,2/2/2026,CAOA MOTOR DO BRASIL LTDA(RAP. TAVARES),1.67945E+13,SAO PAULO,SP,2/2/2026,2/4/2026,2/5/2026,Entregue Fora do Prazo,,Entrega realizada,Entrega Finalizada,4,2,2,2,RISSO,26109,,,
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT,RODOVIARIO,1457073,2/2/2026,7,326829,2/2/2026,GRANDAY AUTOMOTORES LTDA,1.56883E+13,SAO PAULO,SP,2/2/2026,2/4/2026,2/5/2026,Entregue Fora do Prazo,,Entrega realizada,Entrega Finalizada,4,2,2,2,RISSO,26041,,,
