Razão Social;Operação;NF;Data emissão NF;Qtde. Volumes;CTRC;Data Emissão;Destinatário;CNPJ Destino;Cidade Destino;UF Destino;Data Inicio Transporte;Previsão de Entrega;Data de Entrega;Status;Ocorrência Entrega;Status_1;Status Final;Dia_Previsao;Mês_Previsao;Dia_Data_inicio_TSP;mes_Data_inicio_TSP;TRANSPORTADORA;DEALER;feriado;Cidade feriado;UF Feriado
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT;RODOVIARIO;1456463;31/01/2026;1;326741;31/01/2026;BILLY DISTRIBUIDORA DE VEICULOS LTDA;1,34E+13;SAO CAETANO DO SUL;SP;31/01/2026;03/02/2026;31/01/2026;Entregue No Prazo;;Entrega realizada;Entrega Finalizada;3;2;31;1;RISSO;26003;;;
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT;RODOVIARIO;1456466;31/01/2026;1;326741;31/01/2026;BILLY DISTRIBUIDORA DE VEICULOS LTDA;1,34E+13;SAO CAETANO DO SUL;SP;31/01/2026;03/02/2026;31/01/2026;Entregue No Prazo;;Entrega realizada;Entrega Finalizada;3;2;31;1;RISSO;26003;;;
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT;RODOVIARIO;1456468;31/01/2026;1;326741;31/01/2026;BILLY DISTRIBUIDORA DE VEICULOS LTDA;1,34E+13;SAO CAETANO DO SUL;SP;31/01/2026;03/02/2026;31/01/2026;Entregue No Prazo;;Entrega realizada;Entrega Finalizada;3;2;31;1;RISSO;26003;;;
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT;RODOVIARIO;1456465;31/01/2026;1;326743;31/01/2026;NEW VEICULOS E PECAS LTDA;1,59E+13;RIBEIRAO PRETO;SP;31/01/2026;04/02/2026;31/01/2026;Entregue No Prazo;;Entrega realizada;Entrega Finalizada;4;2;31;1;RISSO;26014;;;
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT;RODOVIARIO;1456470;31/01/2026;1;326743;31/01/2026;NEW VEICULOS E PECAS LTDA;1,59E+13;RIBEIRAO PRETO;SP;31/01/2026;04/02/2026;31/01/2026;Entregue No Prazo;;Entrega realizada;Entrega Finalizada;4;2;31;1;RISSO;26014;;;
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT;RODOVIARIO;1456464;31/01/2026;1;326744;31/01/2026;MOTONET COMERCIO DE VEICULOS LTDA;;SOROCABA;SP;31/01/2026;04/02/2026;31/01/2026;Entregue No Prazo;;Entrega realizada;Entrega Finalizada;4;2;31;1;RISSO;26113;;;
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT;RODOVIARIO;1456469;31/01/2026;1;326744;31/01/2026;MOTONET COMERCIO DE VEICULOS LTDA;;SOROCABA;SP;31/01/2026;04/02/2026;31/01/2026;Entregue No Prazo;;Entrega realizada;Entrega Finalizada;4;2;31;1;RISSO;26113;;;
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT;RODOVIARIO;1456461;31/01/2026;1;693048;31/01/2026;H - CAMINHO AUTOMOVEIS LTDA;;PIRACICABA;SP;31/01/2026;05/02/2026;31/01/2026;Entregue No Prazo;;Entrega realizada;Entrega Finalizada;5;2;31;1;RISSO;26092;;;
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT;RODOVIARIO;1456462;31/01/2026;1;693048;31/01/2026;H - CAMINHO AUTOMOVEIS LTDA;;PIRACICABA;SP;31/01/2026;05/02/2026;31/01/2026;Entregue No Prazo;;Entrega realizada;Entrega Finalizada;5;2;31;1;RISSO;26092;;;
MOBIS BRASIL FABRICACAO DE AUTO PECAS LT;RODOVIARIO;1456467;31/01/2026;1;693048;31/01/2026;H - CAMINHO AUTOMOVEIS LTDA;;PIRACICABA;SP;31/01/2026;05/02/2026;31/01/2026;Entregue No Prazo;;Entrega realizada;Entrega Finalizada;5;2;31;1;RISSO;26092;;;
